sign	tokens	icit	m77_added	initial	medial	final	left	right	as_name_end_740	as_name_end_520	numeral	fish_series	fairservis	anchor	role
560	11	2	9	82%	18%	0%	^:9 233:1 585:1	$:3 500:2 814:1	1	0					other
872	11	1	10	0%	36%	64%	362:4 455:2 877:2	$:7 2:2 503:2	0	0					other
93	10	7	3	20%	50%	30%	^:2 808:1 2:1	$:3 400:2 760:1	0	0			A-2 a woman (man sign with ribbed hat)		other
924	10	6	4	40%	50%	10%	^:4 146:1 132:1	745:2 740:1 161:1	1	0			H-10 a shield (hatched)		other
504	10	9	1	10%	50%	40%	350:4 235:1 632:1	$:4 31:2 2:2	0	0			K-6b suspended conical weight		other
204	10	4	6	20%	60%	20%	705:2 ^:2 255:1	$:3 240:2 540:1	0	0					other
703	10	7	3	60%	40%	0%	^:6 615:1 60:1	615:3 400:2 741:2	0	0					other
18	10	6	4	50%	40%	10%	^:5 125:2 796:1	336:4 390:2 596:1	0	0	8 tiered		O-12 number 8 (as adjectival form)		numeral
56	10	10	0	10%	90%	0%	91:8 ^:1 31:1	2:8 415:1 705:1	0	0	24 tiered				numeral
521	9	6	3	33%	44%	22%	^:3 521:2 368:2	521:2 $:2 817:1	0	0					other
702	9	6	3	33%	67%	0%	^:3 900:2 2:1	2:2 741:2 128:1	1	0					other
556	9	7	2	89%	0%	11%	^:8 60:1	440:2 534:1 $:1	0	0					other
63	9	9	0	11%	78%	11%	740:2 315:2 51:1	220:3 407:3 $:1	0	0					other
406	9	9	0	22%	44%	33%	125:2 590:2 ^:2	$:3 740:2 741:1	2	0					other
278	9	3	6	56%	44%	0%	^:5 61:1 595:1	368:2 220:1 2:1	0	0					other
362	9	1	8	78%	22%	0%	^:7 692:1 2:1	872:4 740:3 2:1	2	0					other
136	9	5	4	22%	33%	44%	140:3 31:2 ^:2	$:5 740:2 400:1	2	0					other
456	8	5	3	75%	25%	0%	^:6 1:1 503:1	741:1 527:1 2:1	0	0					other
257	8	5	3	12%	75%	12%	840:5 360:1 898:1	32:2 740:2 $:1	0	0					other
772	8	8	0	0%	100%	0%	240:4 2:2 33:1	740:8	8	0					740-name
626	8	6	2	25%	75%	0%	^:2 176:1 484:1	740:3 32:1 503:1	2	0			G-18a enclosure, square with 4 equal compartments marked		other
468	8	8	0	75%	25%	0%	^:6 1:1 740:1	806:8	0	0					other
518	8	6	2	62%	38%	0%	^:5 220:1 1:1	81:2 176:1 2:1	1	0					other
564	8	5	3	38%	50%	12%	^:3 615:1 60:1	740:3 2:1 690:1	3	0					other
417	8	8	0	0%	100%	0%	2:8	890:8	0	0					other
927	8	8	0	25%	75%	0%	^:2 33:1 32:1	740:7 415:1	7	0			N-3 river, stream (wavy lines)		740-name
345	8	3	5	62%	38%	0%	^:5 279:1 61:1	741:3 400:2 840:1	0	0					other
597	8	8	0	0%	100%	0%	32:8	142:8	0	0					other
592	7	7	0	29%	14%	57%	31:3 ^:2 741:2	$:4 158:2 31:1	0	0					other
842	7	4	3	0%	0%	100%	32:1 871:1 535:1	$:7	0	0					other
365	7	7	0	0%	71%	29%	287:1 415:1 900:1	2:3 798:2 $:2	0	0					other
317	7	7	0	57%	0%	43%	^:4 890:1 740:1	$:3 920:2 272:1	0	0					other
15	7	7	0	57%	29%	14%	^:4 13:1 1:1	140:2 32:1 460:1	0	0	5 tiered		O-7 number 5 (another form of O-6?, 3 over 2)		numeral
603	7	6	1	57%	43%	0%	^:4 240:3	861:4 740:3	3	0					other
98	7	7	0	71%	29%	0%	^:5 368:1 921:1	400:5 630:1 220:1	0	0					other
64	7	6	1	14%	14%	71%	706:1 840:1 31:1	$:5 820:1 360:1	0	0			I-16 forked pole		other
930	7	3	4	71%	0%	29%	^:5 632:2	$:7	0	0					other
422	7	7	0	0%	29%	71%	3:7	$:5 176:2	0	0					other
