# No. 95 (30 Sept 1812), frames 0228, 0229, 0233, 0234L (codes_ford1812_no95.txt) aligned group by group with the
# Department's decypherment as printed by Ford 4:389-391 (clear copy on frames 0230-0232).
# python align.py codes_ford1812_no95.txt code_table.tsv
# number<TAB>value<TAB>frame+block (Ford page; note)<TAB>grade: C = fixed by Ford between known neighbours; M = split or digit is a judgement
438	ng	0228-0234 No.95 row 152 (Ford 4:389-391)	C
1399	this	0228-0234 No.95 row 153 (Ford 4:389-391)	C
498	war	0228-0234 No.95 row 154 (Ford 4:389-391)	C
668	and	0228-0234 No.95 row 155 (Ford 4:389-391)	C
1440	it	0228-0234 No.95 row 156 (Ford 4:389-391)	C
1244	had	0228-0234 No.95 row 157 (Ford 4:389-391)	C
1570	oc	0228-0234 No.95 row 158 (Ford 4:389-391)	C
520	ed	0228-0234 No.95 row 159 (Ford 4:389-391)	C
569	to	0228-0234 No.95 row 160 (Ford 4:389-391)	C
1385	the	0228-0234 No.95 row 161 (Ford 4:389-391)	C
16	emperor	0228-0234 No.95 row 162 (Ford 4:389-391)	C
1384	that	0228-0234 No.95 row 163 (Ford 4:389-391)	C
1124	perhaps	0228-0234 No.95 row 164 (Ford 4:389-391)	C
1549	an	0228-0234 No.95 row 165 (Ford 4:389-391)	C
1546	am	0228-0234 No.95 row 166 (Ford 4:389-391)	C
1002	ca	0228-0234 No.95 row 167 (Ford 4:389-391)	C
1340	ble	0228-0234 No.95 row 168 (Ford 4:389-391)	C
680	ar	0228-0234 No.95 row 169 (Ford 4:389-391)	C
720	ran	0228-0234 No.95 row 170 (Ford 4:389-391)	C
1205	ge	0228-0234 No.95 row 171 (Ford 4:389-391)	C
637	ment	0228-0234 No.95 row 172 (Ford 4:389-391)	C
1575	of	0228-0234 No.95 row 173 (Ford 4:389-391; arrangement 1575 the differences; also Secretary 1575 State: 1575 = of here (twice), or 1576 read as 1575 (5/6 confusion); table has adv (Ford 0132, M) which No. 88 reads in adv-ice)	M
1385	the	0228-0234 No.95 row 174 (Ford 4:389-391)	C
837	differ	0228-0234 No.95 row 175 (Ford 4:389-391; differ-ences)	C
546	ences	0228-0234 No.95 row 176 (Ford 4:389-391)	C
1331	between	0228-0234 No.95 row 177 (Ford 4:389-391)	C
1385	the	0228-0234 No.95 row 178 (Ford 4:389-391)	C
1111	parties	0228-0234 No.95 row 179 (Ford 4:389-391)	C
646	might	0228-0234 No.95 row 180 (Ford 4:389-391)	C
1310	be	0228-0234 No.95 row 181 (Ford 4:389-391)	C
1507	ac	0228-0234 No.95 row 182 (Ford 4:389-391)	C
1042	com	0228-0234 No.95 row 183 (Ford 4:389-391)	C
1144	mo	0228-0234 No.95 row 184 (Ford 4:389-391; ac-com-mo-dated)	M
1092	dated	0228-0234 No.95 row 185 (Ford 4:389-391; ac-com-mo-dated; 1092 = sh elsewhere)	M
520	ed	0228-0234 No.95 row 186 (Ford 4:389-391)	C
151	more	0228-0234 No.95 row 187 (Ford 4:389-391)	C
502	ea	0228-0234 No.95 row 188 (Ford 4:389-391)	C
1098	si	0228-0234 No.95 row 189 (Ford 4:389-391)	C
897	ly	0228-0234 No.95 row 190 (Ford 4:389-391)	C
668	and	0228-0234 No.95 row 191 (Ford 4:389-391)	C
254	sp	0228-0234 No.95 row 192 (Ford 4:389-391)	C
