# JQA St Petersburg code (the = 1385), one value per number, built by consolidate.py
# number	value	grade (H clerk decode, C Ford-aligned, M uncertain, I slot inference)	support
880	li	H	override: clerk 0182L11 de-li-cate, 0190; the 'pli' of 0189 is the same group in ex-pli-cit
881	light	H	3x
882	like	H	5x; also likely
883	clin	C	1x; also toyou/den/lor/di/ling
884	little	H	4x; also subject
887	lo	C	2x
888	long	H	override: clerk 0190R12 'longer', 0185R7; the 'Russia' of 0206R was a clerk slip
889	sug	H	1x; also look
890	lor	H	3x; also lord/sure
891	sum	C	1x
892	extra	M	1x
893	low	H	2x
894	lu	C	5x; also lur
895	luded	M	1x
896	ure	M	2x
897	ly	H	35x; also long/ley/ally/bably
898	sw	C	1x
899	sy	M	1x
903	op	M	2x; also pres/p
904	oper	H	2x
905	tro	M	1x
906	opinion	H	2x; also ory/opin
907	oppose	C	1x
908	or	H	32x; also ors/ror/day
910	cord	H	3x
911	order	M	3x; also orders/cords/ministerial
913	origin	C	2x
916	ory	C	1x
922	ots	M	1x
925	other	H	12x
926	ou	M	1x
927	pire	I	override: No. 88 rem88 l.18-19 "that centre of the em-[pire]" (539 em H); context only, the slot (926 ou < 927 < 929 over) does not fit; 1132 pire is a clerk-attested homophone (22 Sept 2026)
929	over	C	3x
930	ough	M	1x
931	re	H	1x
932	force	C	1x
933	ready	C	2x
934	our	H	7x; also color
937	ous	H	7x; also op
938	out	C	3x
939	ow	C	1x; also from
940	reign	M	1x
941	ed	M	1x; also gry
943	own	H	5x
947	rup	H	2x
948	rus	H	13x; also russia
949	ry	C	override: in-cen-di-a-ry (0010, Ford 4:15), extraordina-ry (0190L23)
950	vour	M	1x
952	flat	M	1x; also first
953	twen(ty)	M	2x; also 25/2 (23rd)
954	3rd (23rd)	M	1x
956	October	M	1x
958	ty ninth	M	1x
963	fle	M	1x
966	upon	M	1x
968	fron	M	1x; also fli
972	flour	H	1x
974	flu	H	3x; also per
976	Fo	M	2x; also foun/food/founded
977	fol	C	1x
978	fo(un)	M	1x
979	foot	C	1x
980	for	H	1x
981	for	H	22x
982	force	H	4x; also fore
983	form	H	5x; also for/formed
984	our	C	1x
986	opinion	H	1x
987	po	M	1x
990	frai	M	1x
992	France	H	15x
993	francs	H	1x
994	free	H	2x; also flu/fre
995	French	H	7x; also fo
996	fri	C	5x; also french
997	fol	H	1x
998	fron	M	1x; also fro
999	from	H	23x; also in
1001	c	H	4x; also lic
1002	ca	H	7x; also case/cast
1003	cal	H	5x; also con/cial/call
1004	cam	C	2x
1005	came	C	1x; also sc
1006	can	H	4x; also da
1010	part	H	1x
1012	cart	C	1x
1013	carry	C	1x
1014	cation	H	4x; also cations
1015	cause	H	4x
1016	ce	H	override: clerk 0182 confiden-ce, Chan-ce-l-lor; sin-ce-re (0010, Ford)
1017	ced	H	4x; also ceed
1018	ceived	C	5x; also ceive
1019	cen	H	7x; also cent
1020	cep	H	2x
1021	cer	H	6x
1022	ces	H	9x; also cess
1023	proach	M	1x; also ment/chu/ach
1024	chain?	M	1x
1025	chan	H	8x
1026	char	C	1x
1028	ci	H	18x
1029	cir	C	1x; also count
1030	citizen	C	1x
1031	cit	M	3x; also ty/city
1032	ck	M	1x
1033	clar	H	5x; also cla
1034	claims	C	1x
1035	cle	C	3x
1036	close	M	2x; also cles/clo
1037	co	H	3x
1040	com	C	1x
1042	com	H	8x; also tis/comm
1043	come	H	4x
1044	con	H	23x
1045	copy	C	1x
1046	cor	H	2x
1047	could	H	10x
1048	council	H	4x; also i
1049	Count	H	21x; also coun
1050	country	H	6x; also countries/coun
1051	self	M	1x
1052	course	H	6x
1053	court	C	2x; also cou
1054	cre	M	2x; also bryo/secre
1056	credit	H	2x
1057	crees	M	1x; also was/s/crisis
1058	sa	C	1x
1060	ct	H	5x
1061	cu	C	override: Ford 0005d (4:10) and 0194 cal-cu-late (4:324-325) cu; clerk 0047R13 and Ford 0126 dis-cus-sion give cus where s follows; slot 1060 ct < 1061 < 1062 cur; No. 88 rem88 l.5 e-va-cu-ation (the group was misread 1081) (22 Sept 2026)
1062	cur	C	1x
1063	cure	H	2x; also say/cour
1065	cus	M	1x
1066	cy	C	3x; also licy
1067	say	M	2x; also sanc/said/sca
1068	sa	H	14x; also sage/say/said
1069	say	H	1x
1070	sal	H	5x; also sals
1071	same	H	8x
1072	see	M	1x; also sc
1073	scar	M	2x; also sc
1075	se	M	9x; also re/ho/see
1077	second	C	2x
1078	secret	C	1x
1080	ssel	M	1x; also sell/sel
1081	self	H	override: clerk 0185L1, 0184L10, R16, 0190R4 (it-self)
1082	seem	H	3x; also join
1083	sen	H	10x; also seen
1084	sent	H	4x; also sen/sert
1085	sen	M	1x; also served/ving/ser
1086	serve	H	2x
1087	set	H	3x; also saw/scrip/co
1088	sa	H	1x
1089	9th	M	1x
1091	sever	M	override: clerk 0184R4
1092	sh	H	7x; also sa/plish/ish/prac/dated
1093	shall	H	1x; also ?/they
1094	she	C	2x; also sh
1096	ship	C	2x
1097	sho	C	1x
1098	si	H	8x; also tion
1099	side	M	4x; also sides
1101	P	C	2x
1102	pa	M	override: clerk 0184L2, 0185L18
1104	pains	C	1x
1106	pa	M	1x
1107	paper	H	3x; also well/papers
1108	par	M	2x; also para
1109	Paris	H	8x
1110	part	H	5x; also parts
1111	party	M	4x; also parties
1112	pas	H	3x; also passedpressed
1115	pay	M	1x
1116	pe	H	6x; also spe
1117	pea	H	1x
1118	peace	H	7x
1120	ed	M	1x
1121	pen	M	1x
1122	people	H	3x
1123	per	H	8x; also par
1124	perhaps	H	4x
1125	person	C	1x; also per
1126	pe	M	1x
1127	ph	M	1x
1130	pi	C	1x; also pish
1132	por	H	1x; also pire
1134	pl	C	3x; also plied/pli/plicit
1136	place	H	9x
1137	plai	C	1x
1139	plan	C	1x
1141	ple	M	override: clerk 0190R26 exam-ple (read 'ample'); a-po-ple-ct-ic in No. 88
1142	plea	M	1x
1144	pli	C	1x; also mo/sia
1145	plied	C	3x
1147	supplies	H	2x
1148	po	H	15x; also na/si/posi/council
1149	pointed	M	1x; also point
1150	poland	C	2x
1151	poli	H	4x; also po
1153	ports	H	1x
1154	pos	C	2x; also we
1155	port	C	1x; also pose
1156	place	M	1x; also possess
1157	pos	M	2x; also poss/possib/poli/impos/wel
1161	poli	M	1x
1162	without	H	1x; also way/ways
1164	we	H	3x; also weigh
1166	will	M	1x
1167	well	C	4x; also were/whel/wel
1168	went	M	3x; also weeks
1169	were	H	8x; also werewell/sure/wel
1171	wheat	M	1x
1172	what	H	8x
1173	when	C	3x; also would
1174	where	H	3x
1175	whether	H	2x
1176	which	H	35x; also of/if
1177	while	H	3x; also who
1179	who	H	8x
1180	whole	C	1x
1181	whom	C	1x
1182	whose	C	1x
1184	wi	M	4x; also wish
1186	will	H	override: clerk 0182L8, 0184L4-5; also Wil-(na)
1188	Wil	M	1x; also win/will/which
1189	wise	H	3x
1190	with	H	21x
1191	within	H	2x
1192	without	H	7x; also with
1194	wo	C	1x
1196	word	H	3x; also words
1197	work	M	1x
1198	si	C	1x
1199	would	H	20x
1200	written	H	2x; also wre/wr
1201	gel	C	1x; also ig/g
1202	ga	C	7x; also gave
1205	ge	C	5x; also thr
1206	ged	C	3x
1208	general	H	8x
1210	ger	H	5x
1211	Germany	M	1x
1213	ges	H	4x; also gest
1216	gi	C	4x; also g
1219	give	M	3x; also pro
1222	gle	C	1x
1223	per	M	1x
1225	go	H	7x; also gi
1226	in	M	1x
1227	gone	C	2x
1228	good	C	3x; also gu
1229	govern	H	17x
1230	gr	M	1x; also gret
1231	gra	C	4x
1232	grie	M	1x; also har
1233	great	H	4x
1238	gu	M	2x; also gula/gua
1240	gui	M	1x
1242	h	M	1x
1243	ha	C	1x
1244	had	H	49x
1249	hand	H	2x
1252	har	C	1x
1254	has	H	10x
1258	hav	C	1x
1259	have	H	14x; also stanceshave
1260	having	H	4x
1264	gar	H	1x
1266	cy	M	1x
1270	du	M	1x
1271	down	H	2x
1272	dr	M	1x; also te
1273	dr	M	1x
1276	tend	C	1x
1278	du	H	5x
1280	duc	C	2x
1283	seen	C	1x
1284	du	M	1x
1286	during	C	2x
1288	duty	C	1x
1290	England	H	9x
1291	English	H	10x; also engl
1292	English	M	1x; also enough/dro
1293	tent	H	3x; also cent/ent/en/gent
1296	ep	C	3x
1298	tent	M	1x
1299	equal	M	1x
1300	er	C	7x; also mer/ver/ered
1301	b	C	1x
1302	ca	M	1x; also ba/ta
1303	back	H	2x
1304	tain	H	1x
1305	bal	H	4x; also taking
1306	ban	C	2x
1307	bar	H	2x
1308	bass	H	6x; also bas/ba
1309	bat	I	override: No. 88 rem88 l.13 "after the [bat](tle) of Fri-ed-la-nd" (996 fri C in No. 95 friendship); slot 1308 bas < 1309 < 1310 be; the two Ford 1812 alignments are M and disagree (No. 84 re-lation, No. 83 an-s-wer) (22 Sept 2026)
1310	be	H	37x
1311	be	H	1x
1312	form	M	1x
1315	because	H	4x
1317	been	H	17x
1318	before	H	7x
1319	begin	C	1x
1320	bel	C	1x
1324	bel	M	1x
1325	bers	H	1x
