sealid	cisi	site	type	complete	direction	signs_visual	signs_reading	motif
4181		Dholavira	SEAL:S	Y	R/L	817 130	130 817	Bull1:W
4182		Dholavira	SEAL:S	Y	R/L	740 390 590 231 2 705 530 904	904 530 705 2 231 590 390 740	Bull1
4183		Dholavira	SEAL:S	Y	R/L	740 798 233 742 175	175 742 233 798 740	Bull1
4184		Dholavira	SEAL:S	Y	R/L	740 32 840 803	803 840 32 740	Bull1
4187		Dholavira	SEAL:S	Y	R/L	231 850	850 231	
4190		Dholavira	SEAL:R	Y	L/R	5 408	408 5	
4194		Dholavira	SEAL:R	Y	R/L	154 806 472 1 2 220 455 806	806 455 220 2 1 472 806 154	
4195		Dholavira	SEAL:S	Y	R/L	820 390 590 2 861	861 2 590 390 820	Bull1:V
4196		Dholavira	SEAL:S	Y	R/L	391 2 365 550	550 365 2 391	Bull1:J
4198		Dholavira	SEAL:S	Y	R/L	390 550 452 60 690	690 60 452 550 390	Bull1:V
4201		Dholavira	SEAL:R	Y	R/L	832 140 2 1 547	547 1 2 140 832	
4203		Dholavira	SEAL:S	Y	R/L	460 513 0 390 17 2 460 575	575 460 2 17 390 0 513 460	Bull1:I
4208		Dholavira	SEAL:S	Y	R/L	740 176 1 741 703 900 3	3 900 703 741 1 176 740	Gaur
4209		Dholavira	SEAL:S	Y	R/L	740 384 2 629 279	279 629 2 384 740	Gaur
4211		Dholavira	SEAL	Y	R/L	740 100 235 2 817	817 2 235 100 740	
4220		Dholavira	SEAL:S	Y	R/L	520 742 861	861 742 520	Bull1
4221		Dholavira	SEAL:S	Y	R/L	740 760 234 741 740 590	590 740 741 234 760 740	Bull1:U
4223		Dholavira	SEAL:S	Y	R/L	31 151	151 31	Elep
4224		Dholavira	SEAL:S	Y	R/L	740 235 220	220 235 740	Bull1
4225		Dholavira	SEAL:S	Y	R/L	156 19	19 156	Bull1:S
4226		Dholavira	SEAL:S	Y	R/L	400 740 920	920 740 400	Bull1
4227		Dholavira	SEAL:S	Y	R/L	740 630 98 368 824	824 368 98 630 740	Bull1
4229		Dholavira	SEAL:S	Y	R/L	740 390 590 220 460 240 1 820 60	60 820 1 240 460 220 590 390 740	Bull1:V
4232		Dholavira	SEAL:S	Y	R/L	520 235	235 520	Bull1:J
4236		Dholavira	SEAL:S	Y	R/L	740 760 175 220 255	255 220 175 760 740	Bull1:S
4237		Dholavira	SEAL:S	Y	R/L	151 32 388 2 390 705	705 390 2 388 32 151	Bull1:I
4239		Dholavira	SEAL:S	Y	R/L	90 95 741 374 132	132 374 741 95 90	Bull1:I
4240		Dholavira	SEAL:S	Y	R/L	151 142	142 151	Bull1:I
4242		Dholavira	TAB:I	Y	R/L	4 408	408 4	
4244		Dholavira	MISC	Y	R/L	233 776	776 233	
4250		Dholavira	SEAL:S	Y	R/L	520 90 803 564 741 798 892	892 798 741 564 803 90 520	
4254		Dholavira	SEAL:R	Y	L/R	561 92 625 900	900 625 92 561	
4258		Dholavira	TAB:I	Y	R/L	892 33	33 892	
4260		Dholavira	SEAL:R	Y	R/L	390 16 2 861	861 2 16 390	
4269		Dholavira	SEAL:R	Y	R/L	422 3	3 422	
4272		Dholavira	SEAL:R	Y	R/L	405 16 2 861	861 2 16 405	
4274		Dholavira	SEAL:R	Y	R/L	832 1 740 176	176 740 1 832	
4277		Dholavira	SEAL:R	Y	R/L	740 67 900 2 3	3 2 900 67 740	
4284		Dholavira	SEAL:R	Y	R/L	590 407 790 1 746	746 1 790 407 590	
4286		Dholavira	TAB:I	Y	R/L	153 220 32	32 220 153	
4287		Dholavira	SEAL:S	Y	R/L	740 798 706 61 60 550	550 60 61 706 798 740	
4290		Rajanpur	TAB:B	Y	R/L	700 33	33 700	Maze
4301		Dholavira	TAG	Y	R/L	136 33	33 136	
4302		Dholavira	TAB:B	Y	R/L	740 519 2 900 630	630 900 2 519 740	Scene
4580	H-1155	Harappa	TAB:B	Y	R/L	520 240 2 405 501	501 405 2 240 520	Bull1:I
4597	H-1101	Harappa	TAB:B	Y	R/L	400 90	90 400	Mult
4676	H-1087	Harappa	POT:T:s	Y	R/L	66 33	33 66	
4894	Ns-56	Nausharo	SEAL:S	Y	R/L	111 3 250	250 3 111	Bull1:I
4935	H-1141	Harappa	TAB:B	Y	R/L	740 32 840 679	679 840 32 740	Fish
5215		SI20	SEAL:S	Y	R/L	155 5	5 155	Bull1:L
5218		SI20	SEAL:S	Y	R/L	520 70 495 240 60 297 368 632 32	32 632 368 297 60 240 495 70 520	Bull1:I
