sealid	cisi	site	type	complete	direction	signs_visual	signs_reading	motif
M77-1626		unknown	M77	Y	M77	615 615 892 740 400 31 384	615 615 892 740 400 31 384	
M77-1628		unknown	M77	Y	M77	220 840 32 740 0 220 798 550 527	220 840 32 740 0 220 798 550 527	
M77-1704		Mohenjo-daro	M77	Y	M77	3 426 0 705 33 923 740 ?	3 426 0 705 33 923 740 ?	
M77-1705		Mohenjo-daro	M77	Y	M77	235 705 33 845 405 321 405	235 705 33 845 405 321 405	
M77-1706		Mohenjo-daro	M77	Y	M77	235 705 33 845 405 321 405	235 705 33 845 405 321 405	
M77-1713		Mohenjo-daro	M77	Y	M77	255 435 690 740 60 3 426	255 435 690 740 60 3 426	
M77-1714		Mohenjo-daro	M77	Y	M77	32 70 405	32 70 405	
M77-1803		unknown	M77	Y	M77	231 17 585 347 520 32 405	231 17 585 347 520 32 405	
M77-1813		unknown	M77	Y	M77	803 240 550	803 240 550	
M77-1902		unknown	M77	Y	M77	705 33 32 790	705 33 32 790	
M77-1903		unknown	M77	Y	M77	? 165	? 165	
M77-1905		unknown	M77	Y	M77	140 920	140 920	
M77-2002		Mohenjo-daro	M77	Y	M77	840 250 2 32 207 740	840 250 2 32 207 740	
M77-2004		Mohenjo-daro	M77	Y	M77	255 786 220	255 786 220	
M77-2006		Mohenjo-daro	M77	Y	M77	806 705 33 590	806 705 33 590	
M77-2008		Mohenjo-daro	M77	Y	M77	4 405	4 405	
M77-2011		Mohenjo-daro	M77	Y	M77	861 2 ? 760 740	861 2 ? 760 740	
M77-2019		Mohenjo-daro	M77	Y	M77	216 861 2 32 220 235 555 527	216 861 2 32 220 235 555 527	
M77-2020		Mohenjo-daro	M77	Y	M77	717 388 156	717 388 156	
M77-2023		Mohenjo-daro	M77	Y	M77	692 ? 467 806 156	692 ? 467 806 156	
M77-2024		Mohenjo-daro	M77	Y	M77	32 632 269 2 70 231 0 32 220 705 33	32 632 269 2 70 231 0 32 220 705 33	
M77-2025		Mohenjo-daro	M77	Y	M77	615 ? 17 405	615 ? 17 405	
M77-2028		Mohenjo-daro	M77	Y	M77	269 400	269 400	
M77-2032		Mohenjo-daro	M77	Y	M77	255 70 745 17 585 705 33	255 70 745 17 585 705 33	
M77-2034		Mohenjo-daro	M77	Y	M77	60 32 220 235 70 520	60 32 220 235 70 520	
M77-2039		Mohenjo-daro	M77	Y	M77	467 806 156	467 806 156	
M77-2040		Mohenjo-daro	M77	Y	M77	460 760 740	460 760 740	
M77-2042		Mohenjo-daro	M77	Y	M77	861 2 231	861 2 231	
M77-2043		Mohenjo-daro	M77	Y	M77	920 380 380 ? 400 400	920 380 380 ? 400 400	
M77-2044		Mohenjo-daro	M77	Y	M77	? 2 32 226 ?	? 2 32 226 ?	
M77-2045		Mohenjo-daro	M77	Y	M77	? 853 440 760 740 0 ?	? 853 440 760 740 0 ?	
M77-2049		Mohenjo-daro	M77	Y	M77	3 ? 32 590 298 380 380 127	3 ? 32 590 298 380 380 127	
M77-2053		Mohenjo-daro	M77	Y	M77	741 31 415 226	741 31 415 226	
M77-2055		Mohenjo-daro	M77	Y	M77	740 65 405	740 65 405	
M77-2056		Mohenjo-daro	M77	Y	M77	820 2 315 921 70 760 740	820 2 315 921 70 760 740	
M77-2057		Mohenjo-daro	M77	Y	M77	861 2 31 136 740	861 2 31 136 740	
M77-2058		Mohenjo-daro	M77	Y	M77	136	136	
M77-2061		Mohenjo-daro	M77	Y	M77	745 130 400	745 130 400	
M77-2077		Mohenjo-daro	M77	Y	M77	745 104 260 3 426	745 104 260 3 426	
M77-2084		Mohenjo-daro	M77	Y	M77	3 900 702 741 803 235 565	3 900 702 741 803 235 565	
M77-2086		Mohenjo-daro	M77	Y	M77	850 ? 741 806 798 740 621	850 ? 741 806 798 740 621	
M77-2092		Mohenjo-daro	M77	Y	M77	632 343 595 2 16	632 343 595 2 16	
M77-2093		Mohenjo-daro	M77	Y	M77	?	?	
M77-2095		Mohenjo-daro	M77	Y	M77	255 315 269	255 315 269	
M77-2102		Mohenjo-daro	M77	Y	M77	861 2 773 740	861 2 773 740	
M77-2105		Mohenjo-daro	M77	Y	M77	705 140 368	705 140 368	
M77-2112		Mohenjo-daro	M77	Y	M77	350 298	350 298	
M77-2116		Mohenjo-daro	M77	Y	M77	240 100	240 100	
M77-2117		Mohenjo-daro	M77	Y	M77	207 741 32 904 740	207 741 32 904 740	
M77-2118		Mohenjo-daro	M77	Y	M77	231 388 443 61 405	231 388 443 61 405	
M77-2119		Mohenjo-daro	M77	Y	M77	? 595 850 480 ? 820 820 0 705 502 368	? 595 850 480 ? 820 820 0 705 502 368	
M77-2124		Mohenjo-daro	M77	Y	M77	31 151	31 151	
M77-2126		Mohenjo-daro	M77	Y	M77	? 1	? 1	
M77-2133		Mohenjo-daro	M77	Y	M77	220	220	
M77-2134		Mohenjo-daro	M77	Y	M77	? 1 31 97 151	? 1 31 97 151	
M77-2136		Mohenjo-daro	M77	Y	M77	861 2 235	861 2 235	
M77-2137		Mohenjo-daro	M77	Y	M77	32 632 390 740	32 632 390 740	
M77-2141		Mohenjo-daro	M77	Y	M77	360 840 2 264 760 740	360 840 2 264 760 740	
M77-2143		Mohenjo-daro	M77	Y	M77	415 220 320 920 520	415 220 320 920 520	
M77-2145		Mohenjo-daro	M77	Y	M77	176 740 140 844 390	176 740 140 844 390	
M77-2151		Mohenjo-daro	M77	Y	M77	?	?	
M77-2153		Mohenjo-daro	M77	Y	M77	?	?	
M77-2159		Mohenjo-daro	M77	Y	M77	350 460 798 156	350 460 798 156	
M77-2163		Mohenjo-daro	M77	Y	M77	555 527 55 740	555 527 55 740	
M77-2164		Mohenjo-daro	M77	Y	M77	820 2 220 100 740	820 2 220 100 740	
M77-2167		Mohenjo-daro	M77	Y	M77	? 621	? 621	
M77-2169		Mohenjo-daro	M77	Y	M77	700 892 368 921 70 520 621	700 892 368 921 70 520 621	
M77-2170		Mohenjo-daro	M77	Y	M77	632 ? 467 806 156	632 ? 467 806 156	
M77-2175		Mohenjo-daro	M77	Y	M77	426 220 400	426 220 400	
